#,emp_no,first_name,last_name,birth_date,from_date,to_date,title
1,10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Senior Staff
2,10122,Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01,Technique Leader
3,10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Senior Staff
4,10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Senior Staff
5,10663,Teunis,Noriega,1965-01-09,1993-01-23,1999-02-12,Technique Leader
6,10762,Lech,Himler,1965-01-19,1992-01-21,9999-01-01,Senior Staff
7,10933,Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
8,12155,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,Senior Engineer
9,12408,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
10,12643,Morrie,Schurmann,1965-01-30,1998-12-31,9999-01-01,Staff
11,13499,Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01,Technique Leader
12,14075,Denny,Tchuente,1965-01-03,1991-05-30,9999-01-01,Engineer
13,14104,Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01,Senior Staff
14,14127,Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01,Senior Engineer
15,14158,Caolyn,Setiz,1965-01-22,1990-02-06,9999-01-01,Senior Staff
16,14476,Sastry,Marrevee,1965-01-19,1999-09-25,9999-01-01,Engineer
17,14907,Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01,Senior Staff
18,15050,Nikolaos,Kruskal,1965-01-18,1990-12-17,9999-01-01,Senior Engineer
19,15058,Bouchung,Bugrara,1965-01-30,1990-06-18,9999-01-01,Senior Staff
20,15413,Arvin,Rabejac,1965-01-17,1994-01-01,9999-01-01,Senior Engineer
21,16461,Remmert,Schahn,1965-01-14,1986-09-06,9999-01-01,Senior Staff
22,16528,Gaurav,Swick,1965-01-21,1996-05-07,9999-01-01,Engineer
23,17013,Morris,Garigliano,1965-01-15,1995-05-24,9999-01-01,Senior Staff
24,17206,Berry,DeMori,1965-01-02,1992-12-27,9999-01-01,Senior Engineer
25,17369,Yaghout,Kenevan,1965-01-31,1993-01-28,2000-09-15,Senior Engineer
26,17447,Zengping,Boreale,1965-01-11,1998-12-16,9999-01-01,Staff
27,17731,Gennady,Roison,1965-01-16,1989-12-06,9999-01-01,Engineer
28,17970,Filipp,Carrere,1965-01-06,1989-01-09,9999-01-01,Technique Leader
29,17988,Mabhin,Calkin,1965-01-31,1989-11-30,9999-01-01,Senior Engineer
30,18021,Adil,Matzke,1965-01-07,1987-05-08,9999-01-01,Senior Engineer
31,18424,Filipp,Rousseau,1965-01-19,1995-06-07,9999-01-01,Senior Engineer
32,18583,Stafford,Honglei,1965-01-03,1998-08-16,9999-01-01,Staff
33,18617,Surveyors,Crouzet,1965-01-21,1989-04-24,9999-01-01,Senior Staff
34,18810,Taiji,Jarecki,1965-01-09,1991-06-27,9999-01-01,Senior Engineer
35,19236,Elzbieta,Morris,1965-01-24,1988-07-12,9999-01-01,Senior Engineer
36,19350,Satoru,Yoshizawa,1965-01-19,1994-03-27,9999-01-01,Senior Staff
37,19803,Ziva,Kowalchuk,1965-01-30,1987-06-13,9999-01-01,Senior Engineer
38,20100,Utz,Heuter,1965-01-18,1986-06-15,9999-01-01,Senior Staff
39,20128,Kazunori,Peak,1965-01-23,1999-08-13,9999-01-01,Senior Staff
40,20129,Rafael,Skafidas,1965-01-10,1991-03-28,9999-01-01,Senior Engineer
41,20248,Vidar,Demri,1965-01-12,1999-12-31,9999-01-01,Staff
42,20313,Candida,Benveniste,1965-01-24,1999-01-20,9999-01-01,Engineer
43,20500,Christoph,Trystram,1965-01-30,1993-10-15,9999-01-01,Senior Staff
44,20885,Otmar,Rothenberg,1965-01-21,1989-03-14,9999-01-01,Senior Engineer
45,21181,Jianhui,Cangellaris,1965-01-21,1991-10-06,9999-01-01,Engineer
46,21188,Piyush,Danecki,1965-01-21,2000-01-08,9999-01-01,Engineer
47,21546,Yongmin,Lanteri,1965-01-01,2002-03-19,9999-01-01,Senior Staff
48,21843,Karsten,Azadmanesh,1965-01-09,1985-11-29,9999-01-01,Senior Engineer
49,21909,Mohammed,Brizzi,1965-01-04,1991-12-28,9999-01-01,Senior Staff
50,22185,Huai,Birch,1965-01-29,1996-03-26,2002-06-12,Engineer
51,22415,Perla,Jumpertz,1965-01-20,1994-08-24,9999-01-01,Senior Staff
52,22451,Jasminko,Bresenham,1965-01-27,1994-01-19,9999-01-01,Senior Staff
53,22455,Barry,Unno,1965-01-06,1990-11-16,9999-01-01,Senior Staff
54,22926,Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01,Senior Engineer
55,23396,Hilari,Fairtlough,1965-01-02,1986-12-15,9999-01-01,Technique Leader
56,24080,Jaana,Perez,1965-01-26,1996-03-11,9999-01-01,Technique Leader
57,24205,Roddy,Rubsam,1965-01-25,1993-09-19,9999-01-01,Senior Engineer
58,24377,Lubomir,Wroclawski,1965-01-25,1993-07-25,9999-01-01,Senior Engineer
59,24394,Zhonghui,Conta,1965-01-04,1994-09-10,9999-01-01,Staff
60,24553,Anwar,Passafiume,1965-01-12,1987-01-30,9999-01-01,Senior Staff
61,24571,Cordelia,Gischer,1965-01-20,1989-03-14,9999-01-01,Senior Engineer
62,25488,Ingmar,Basawa,1965-01-19,1991-11-09,9999-01-01,Senior Staff
63,26629,Nevin,Rodham,1965-01-28,1998-12-14,9999-01-01,Senior Staff
64,26671,Jiakeng,Kalorkoti,1965-01-21,1994-12-25,9999-01-01,Senior Engineer
65,26788,Zongyan,Dalphin,1965-01-25,1988-04-23,9999-01-01,Senior Engineer
66,27331,Wanqing,Krohm,1965-01-19,1991-01-22,9999-01-01,Senior Staff
67,27378,Piyawadee,Leppanen,1965-01-28,1999-02-25,9999-01-01,Senior Staff
68,27620,Shuji,Kandlur,1965-01-25,1990-03-02,9999-01-01,Senior Engineer
69,27686,Manu,Rosiles,1965-01-28,1998-03-03,9999-01-01,Senior Staff
70,27699,Falguni,Pezzoli,1965-01-15,1996-12-23,9999-01-01,Engineer
71,27767,Tooru,Veldwijk,1965-01-27,1993-11-21,9999-01-01,Senior Staff
72,28193,Xinglin,Mitsuhashi,1965-01-29,1988-12-14,9999-01-01,Senior Engineer
73,28974,Chenxi,Sundgren,1965-01-09,1986-09-02,9999-01-01,Senior Engineer
74,28988,Tua,Giveon,1965-01-18,1998-09-09,9999-01-01,Technique Leader
75,29130,Xumin,Thorensen,1965-01-06,1998-04-26,9999-01-01,Staff
76,29265,Gilbert,Calkin,1965-01-14,1988-03-21,9999-01-01,Senior Staff
77,29380,Satoru,Vidal,1965-01-30,1998-05-02,9999-01-01,Assistant Engineer
78,29418,Valery,Mersereau,1965-01-22,1998-07-01,9999-01-01,Assistant Engineer
79,29679,Kolar,Steenbeek,1965-01-17,1986-10-18,9999-01-01,Senior Engineer
80,29782,Jouko,Hellwagner,1965-01-29,2000-10-23,9999-01-01,Senior Engineer
81,29954,Pranay,Giarratana,1965-01-27,1992-09-29,9999-01-01,Senior Engineer
82,30007,Kousuke,Vecchio,1965-01-24,1990-02-23,9999-01-01,Senior Engineer
83,30035,Tetsushi,Conta,1965-01-08,1995-07-04,9999-01-01,Senior Staff
84,30154,Mayuko,Skafidas,1965-01-26,1999-04-19,9999-01-01,Technique Leader
85,30182,Leon,Potthoff,1965-01-26,1985-12-08,9999-01-01,Senior Engineer
86,30465,Randi,Avouris,1965-01-28,1986-07-16,9999-01-01,Senior Engineer
87,30484,Sailaja,Chvatal,1965-01-11,1999-05-18,9999-01-01,Staff
88,30695,Gudjon,Majewski,1965-01-08,1999-10-26,9999-01-01,Senior Engineer
89,30938,Yakkov,Samarati,1965-01-06,1997-10-10,9999-01-01,Senior Staff
90,31147,Divine,Sidhu,1965-01-04,1989-07-05,9999-01-01,Senior Staff
91,31188,Leandro,Gist,1965-01-12,1993-02-03,9999-01-01,Technique Leader
92,31207,Abdelwaheb,Dulin,1965-01-30,1993-08-05,9999-01-01,Senior Engineer
93,31341,Oksana,Zultner,1965-01-01,1991-03-23,9999-01-01,Senior Staff
94,31514,Harngdar,Schapire,1965-01-13,1996-11-09,9999-01-01,Senior Engineer
95,31568,Mark,Lalonde,1965-01-10,1996-11-24,9999-01-01,Staff
96,31909,Murthy,Peek,1965-01-10,1994-07-19,2000-10-30,Engineer
97,32347,Terresa,Peres,1965-01-08,1990-09-15,9999-01-01,Senior Staff
98,32552,Atreye,Stanger,1965-01-17,1993-09-10,9999-01-01,Engineer
99,32649,Ingmar,Nannarelli,1965-01-12,1988-06-10,9999-01-01,Senior Staff
100,32714,Radoslaw,Maliniak,1965-01-16,2001-09-18,9999-01-01,Staff
101,32844,Tadahiko,Melton,1965-01-23,1995-01-07,9999-01-01,Engineer
102,33025,Jessie,Thorelli,1965-01-12,1999-12-16,9999-01-01,Senior Staff
103,33215,Steen,Fasbender,1965-01-29,1993-02-14,9999-01-01,Technique Leader
104,33722,Anwar,Collette,1965-01-15,1994-03-22,2001-02-03,Senior Engineer
105,34077,Angel,Sichman,1965-01-08,1988-11-16,9999-01-01,Senior Staff
106,34261,Kyoichi,Callaway,1965-01-05,1990-12-30,9999-01-01,Senior Staff
107,34446,Chinhyun,Bauknecht,1965-01-31,1986-12-19,9999-01-01,Senior Engineer
108,34452,Naftaly,Foong,1965-01-08,1991-05-10,9999-01-01,Senior Engineer
109,34505,Felicidad,Kumaresan,1965-01-28,1994-09-06,9999-01-01,Senior Staff
110,34533,Erzsebet,Shigei,1965-01-10,1991-01-21,1995-01-16,Senior Engineer
111,34780,Moni,Kohling,1965-01-16,2001-09-18,9999-01-01,Staff
112,34788,Ennio,Babu,1965-01-27,1994-08-31,9999-01-01,Senior Engineer
113,34936,Bokyung,Stamatiou,1965-01-12,1991-02-12,9999-01-01,Technique Leader
114,35044,Jiang,Waschkowski,1965-01-04,1989-05-27,9999-01-01,Senior Engineer
115,35087,Leif,Ashish,1965-01-17,1994-10-14,9999-01-01,Senior Staff
116,35441,Chandrasekaran,Peek,1965-01-31,1990-09-17,9999-01-01,Senior Engineer
117,35642,Ashish,Talmon,1965-01-30,1995-06-13,1999-02-28,Senior Engineer
118,35793,Oscar,Kusalik,1965-01-01,1991-05-11,9999-01-01,Senior Staff
119,35798,Ulf,Oberman,1965-01-29,1997-03-15,9999-01-01,Senior Engineer
120,36521,Serif,Gladwell,1965-01-21,1987-03-06,9999-01-01,Senior Staff
121,36626,Fen,Genin,1965-01-02,1986-05-09,9999-01-01,Senior Staff
122,36733,Uma,Reinhard,1965-01-04,1997-11-01,9999-01-01,Staff
123,36844,Hailing,Levergood,1965-01-01,2000-01-12,9999-01-01,Staff
124,36982,Kotesh,Rajala,1965-01-22,1992-06-23,9999-01-01,Senior Engineer
125,37070,Jeong,Undy,1965-01-22,1985-02-13,9999-01-01,Senior Staff
126,37945,Suzette,Butterworth,1965-01-02,1994-02-19,9999-01-01,Senior Engineer
127,38043,Michaela,Randi,1965-01-05,1985-11-23,9999-01-01,Senior Engineer
128,38103,Masasuke,Babu,1965-01-12,1988-03-31,9999-01-01,Senior Engineer
129,38168,Fumiko,Deverell,1965-01-14,1987-08-15,9999-01-01,Senior Staff
130,38550,JoAnne,Baez,1965-01-14,1987-02-16,9999-01-01,Senior Engineer
131,38593,Huei,Orsini,1965-01-14,1986-06-04,9999-01-01,Senior Engineer
132,38947,Shuichi,Ruemmler,1965-01-25,1998-04-08,9999-01-01,Senior Staff
133,39000,Martijn,Vendrig,1965-01-08,1997-03-03,9999-01-01,Senior Staff
134,39036,Changho,Cappelli,1965-01-08,1996-05-04,9999-01-01,Staff
135,39301,Rimon,Kawashima,1965-01-07,1992-02-06,9999-01-01,Senior Staff
136,39341,Mahmut,Lampe,1965-01-01,1985-05-11,9999-01-01,Senior Engineer
137,39952,Otmar,Sudbeck,1965-01-02,1998-07-22,9999-01-01,Staff
138,40269,Toshiki,Ghazalie,1965-01-10,1991-12-05,9999-01-01,Senior Staff
139,40283,Sudhanshu,Boissier,1965-01-07,1985-05-11,9999-01-01,Senior Engineer
140,40301,Spyrose,Felder,1965-01-20,1997-10-20,9999-01-01,Senior Engineer
141,40536,Harngdar,Bernardinello,1965-01-20,1988-02-29,9999-01-01,Senior Engineer
142,40765,Michaela,Ramsak,1965-01-01,1992-12-21,9999-01-01,Senior Staff
143,40773,Shimshon,Aingworth,1965-01-09,1986-04-13,9999-01-01,Senior Staff
144,40983,Marla,Cherinka,1965-01-17,1986-12-01,9999-01-01,Technique Leader
145,41114,Petter,Thummel,1965-01-25,1995-12-24,9999-01-01,Technique Leader
146,41137,Bikash,Buchter,1965-01-20,1996-01-08,9999-01-01,Senior Staff
147,41357,Willard,Vernadat,1965-01-06,1997-03-04,9999-01-01,Engineer
148,41518,Keung,Schapiro,1965-01-11,2001-02-08,9999-01-01,Senior Engineer
149,41520,Xiong,Uhrik,1965-01-20,1988-03-21,9999-01-01,Senior Engineer
150,41609,Yucai,Simmen,1965-01-04,1987-10-13,9999-01-01,Senior Staff
151,42778,Shuji,Remmers,1965-01-19,1987-12-18,9999-01-01,Senior Staff
152,42911,Brigham,Eterovic,1965-01-29,1994-10-08,9999-01-01,Senior Engineer
153,42950,Shaleah,Eickenmeyer,1965-01-22,1993-10-09,9999-01-01,Senior Staff
154,42955,Yucel,Lortz,1965-01-12,1995-02-21,9999-01-01,Engineer
155,43154,Maha,Waterhouse,1965-01-13,1997-07-04,9999-01-01,Senior Staff
